3304,"SIDER KING",13415,"DISORMEGGIO PER PARTENZA",23,"2018-01-08 12:28"
3304,"SIDER KING",13415,"NAVE FUORI VISTA",26,"2018-01-08 13:35"
3326,"DOST 1",13973,"ANCORAGGIO IN RADA",16,"2018-01-04 16:40"
3326,"DOST 1",13973,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 16:15"
3326,"DOST 1",13973,"DA RADA A ORMEGGIO",20,"2018-01-05 11:40"
3326,"DOST 1",13973,"DISORMEGGIO PER PARTENZA",23,"2018-01-07 10:30"
3326,"DOST 1",13973,"NAVE FUORI VISTA",26,"2018-01-07 11:30"
3333,"LIPARI M",12730,"ANCORAGGIO IN RADA",16,"2018-01-02 22:18"
3333,"LIPARI M",12730,"ANCORAGGIO IN RADA",16,"2018-01-20 22:18"
3333,"LIPARI M",12730,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 22:00"
3333,"LIPARI M",12730,"DA RADA A ORMEGGIO",20,"2018-01-03 17:00"
3333,"LIPARI M",12730,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 13:24"
3333,"LIPARI M",12730,"NAVE FUORI VISTA",26,"2018-01-04 13:55"
3334,"STAR HYPERION",13971,"ANCORAGGIO IN RADA",16,"2018-01-04 02:45"
3334,"STAR HYPERION",13971,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 02:00"
3334,"STAR HYPERION",13971,"DA RADA A ORMEGGIO",20,"2018-01-04 15:25"
3334,"STAR HYPERION",13971,"DISORMEGGIO PER PARTENZA",23,"2018-01-17 20:35"
3334,"STAR HYPERION",13971,"NAVE FUORI VISTA",26,"2018-01-17 21:10"
3335,"IEVOLI BLUE",10100,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 07:00"
3335,"IEVOLI BLUE",10100,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 17:55"
3335,"IEVOLI BLUE",10100,"NAVE FUORI VISTA",26,"2018-01-04 18:15"
3335,"IEVOLI BLUE",10100,"NAVE IN ENTRATA",14,"2018-01-04 07:10"
3335,"IEVOLI BLUE",10100,"ORMEGGIO NAVE",17,"2018-01-04 07:30"
3336,"PHOBUS",13978,"ANCORAGGIO IN RADA",16,"2018-01-04 08:50"
3336,"PHOBUS",13978,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 08:25"
3336,"PHOBUS",13978,"DA RADA A ORMEGGIO",20,"2018-01-06 19:35"
3336,"PHOBUS",13978,"DISORMEGGIO PER PARTENZA",23,"2018-01-08 16:10"
3336,"PHOBUS",13978,"NAVE FUORI VISTA",26,"2018-01-08 16:55"
3337,"EUROCARGO SICILIA",10955,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-04 12:15"
3337,"EUROCARGO SICILIA",10955,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 21:50"
3337,"EUROCARGO SICILIA",10955,"NAVE FUORI VISTA",26,"2018-01-04 22:30"
3337,"EUROCARGO SICILIA",10955,"NAVE IN ENTRATA",14,"2018-01-04 12:20"
3337,"EUROCARGO SICILIA",10955,"ORMEGGIO NAVE",17,"2018-01-04 13:05"
3339,"GAZ SERENITY",12734,"ANCORAGGIO IN RADA",16,"2018-01-04 15:12"
